
===================================================
Simulating (simso.schedulers.EDF) on config (config_overhead_2_50_50.xml) 
with sim module (default_simulator).
Chroms: 30, Gen: 100, ESC: 0.1 0.5 0.4, MR: 1.5
Selection: Roulette, MS: False, Crossover: OX2, Keep Elite: False
===================================================


50 Task 19_1 CPU 1
55 Task 3_1 CPU 2
2559 Task 22_1 CPU 1
14027 Task 6_1 CPU 2
20519 Task 4_1 CPU 1
40186 Task 38_1 CPU 1
58247 Task 42_1 CPU 1
66908 Task 21_1 CPU 2
72781 Task 27_1 CPU 2
92622 Task 9_1 CPU 1
100777 Task 15_1 CPU 1
125628 Task 23_1 CPU 2
160110 Task 12_1 CPU 2
161571 Task 45_1 CPU 2
167079 Task 40_1 CPU 2
187599 Task 8_1 CPU 2
221819 Task 28_1 CPU 2
227081 Task 16_1 CPU 1
240441 Task 34_1 CPU 2
260586 Task 5_1 CPU 2
317036 Task 20_1 CPU 2
354891 Task 95_1 CPU 2
363155 Task 20_1 CPU 2
584534 Task 48_1 CPU 2
620132 Task 67_1 CPU 2
646765 Task 48_1 CPU 2
725759 Task 39_1 CPU 2
882268 Task 59_1 CPU 2
896258 Task 39_1 CPU 2
915274 Task 61_1 CPU 2
936414 Task 39_1 CPU 2
960308 Task 1_1 CPU 1
993750 Task 68_1 CPU 1
1003689 Task 1_1 CPU 1
1184356 Task 26_1 CPU 1
1228243 Task 72_1 CPU 1
1241538 Task 26_1 CPU 1
1331516 Task 10_1 CPU 1
1376202 Task 19_2 CPU 1
1378466 Task 10_1 CPU 1
1392159 Task 41_1 CPU 1
1697353 Task 3_2 CPU 1
1711325 Task 41_1 CPU 1
1723444 Task 58_1 CPU 1
1738450 Task 41_1 CPU 1
2003990 Task 47_1 CPU 2
2119251 Task 22_2 CPU 2
2137211 Task 47_1 CPU 2
2304836 Task 76_1 CPU 2
2348007 Task 92_1 CPU 1
2356306 Task 41_1 CPU 1
2535765 Task 47_1 CPU 2
2618295 Task 49_1 CPU 2
2671386 Task 6_2 CPU 2
2724267 Task 49_1 CPU 2
2752403 Task 19_3 CPU 2
2754667 Task 49_1 CPU 2
2859239 Task 4_2 CPU 2
2878906 Task 49_1 CPU 2
2920502 Task 72_2 CPU 2
2928999 Task 38_2 CPU 1
2933797 Task 41_1 CPU 2
2947060 Task 49_1 CPU 1
3088904 Task 60_1 CPU 1
3177451 Task 49_1 CPU 1
3197715 Task 42_2 CPU 1
3232090 Task 49_1 CPU 1
3286705 Task 31_1 CPU 1
3388099 Task 21_2 CPU 1
3393972 Task 31_1 CPU 1
3394705 Task 3_3 CPU 1
3408677 Task 31_1 CPU 1
3477649 Task 27_2 CPU 1
3530496 Task 31_1 CPU 1
3637833 Task 53_1 CPU 1
3650096 Task 31_1 CPU 1
3713419 Task 9_2 CPU 1
3721574 Task 31_1 CPU 1
3744725 Task 95_2 CPU 1
3749980 Task 61_2 CPU 2
3750320 Task 68_2 CPU 1
3760259 Task 95_2 CPU 1
3762934 Task 41_1 CPU 1
3771120 Task 31_1 CPU 2
4081589 Task 63_1 CPU 2
4128604 Task 19_4 CPU 1
4130868 Task 41_1 CPU 1
4238501 Task 22_3 CPU 1
4256461 Task 41_1 CPU 1
4389558 Task 31_1 CPU 1
4453571 Task 24_1 CPU 2
4785286 Task 17_1 CPU 2
4845169 Task 32_1 CPU 1
4859295 Task 67_2 CPU 1
4885928 Task 32_1 CPU 1
5092057 Task 3_4 CPU 1
5106029 Task 32_1 CPU 1
5108396 Task 92_2 CPU 1
5116695 Task 32_1 CPU 1
5205008 Task 15_2 CPU 1
5314433 Task 32_1 CPU 2
5323282 Task 59_2 CPU 2
5331312 Task 32_1 CPU 1
5337272 Task 13_1 CPU 2
5342771 Task 6_3 CPU 2
5395652 Task 13_1 CPU 2
5408318 Task 25_1 CPU 2
5425144 Task 50_1 CPU 2
5504805 Task 19_5 CPU 2
5507069 Task 50_1 CPU 2
5668231 Task 58_2 CPU 2
5683237 Task 50_1 CPU 2
5718477 Task 4_3 CPU 2
5738144 Task 50_1 CPU 2
5857997 Task 38_3 CPU 2
5876058 Task 50_1 CPU 2
6083590 Task 72_3 CPU 2
6096885 Task 50_1 CPU 2
6351971 Task 29_1 CPU 1
6357751 Task 22_4 CPU 1
6375711 Task 29_1 CPU 1
6395429 Task 42_3 CPU 1
6429804 Task 29_1 CPU 1
6491599 Task 95_3 CPU 1
6499863 Task 29_1 CPU 1
6519322 Task 7_1 CPU 2
6776197 Task 21_3 CPU 2
6782070 Task 7_1 CPU 2
6789409 Task 3_5 CPU 2
6803381 Task 7_1 CPU 2
6881006 Task 19_6 CPU 2
6883270 Task 7_1 CPU 2
6921944 Task 96_1 CPU 2
6955297 Task 27_3 CPU 1
6964599 Task 29_1 CPU 2
7008144 Task 7_1 CPU 1
7186548 Task 23_2 CPU 1
7221030 Task 7_1 CPU 1
7317845 Task 92_3 CPU 1
7326144 Task 7_1 CPU 1
7426837 Task 9_3 CPU 1
7434992 Task 7_1 CPU 1
7571108 Task 2_1 CPU 2
7767665 Task 12_2 CPU 2
7769126 Task 2_1 CPU 2
7867177 Task 45_2 CPU 2
7872685 Task 2_1 CPU 2
7874792 Task 30_1 CPU 2
8014156 Task 6_4 CPU 2
8042900 Task 53_2 CPU 1
8055163 Task 7_1 CPU 1
8067037 Task 30_1 CPU 2
8089726 Task 72_4 CPU 2
8103021 Task 30_1 CPU 2
8257207 Task 19_7 CPU 2
8259471 Task 30_1 CPU 2
8266025 Task 40_2 CPU 2
8286545 Task 30_1 CPU 2
8477001 Task 22_5 CPU 2
8486761 Task 3_6 CPU 1
8494967 Task 7_1 CPU 2
8500733 Task 30_1 CPU 1
8577715 Task 4_4 CPU 1
8597382 Task 30_1 CPU 1
8664347 Task 78_1 CPU 1
8786995 Task 38_4 CPU 2
8805056 Task 7_1 CPU 2
9051440 Task 8_2 CPU 2
9085660 Task 7_1 CPU 2
9120147 Task 30_1 CPU 2
9241906 Task 100_1 CPU 2
9278946 Task 30_1 CPU 2
9341966 Task 58_3 CPU 2
9356972 Task 30_1 CPU 2
9593143 Task 42_4 CPU 2
9607636 Task 92_4 CPU 1
9615935 Task 78_1 CPU 1
9627518 Task 30_1 CPU 2
9633408 Task 19_8 CPU 2
9635672 Task 30_1 CPU 2
9682597 Task 11_1 CPU 1
